F1,Precision,Recall,cIoU,dataset,seed,cat
0.8164394497871399,0.8950620889663696,0.7505139112472534,0.6898163557052612,sysu,42,swinTcitySemFlipCos
0.9132825136184692,0.927581548690796,0.8994176983833313,0.840404748916626,levir,42,swinTcitySemFlipCos
0.8568534255027771,0.8725124597549438,0.8417465090751648,0.7495568990707397,egybcd,42,swinTcitySemFlipCos
0.905261754989624,0.9129651188850404,0.8976872563362122,0.8269206881523132,gvlm,42,swinTcitySemFlipCos
0.7944371700286865,0.8455946445465088,0.7491164803504944,0.658976137638092,clcd,42,swinTcitySemFlipCos
0.5297674536705017,0.5796024799346924,0.4878236651420593,0.3603290021419525,oscd96,42,swinTcitySemFlipCos
0.8166735172271729,0.8930747509002686,0.7523140907287598,0.6901506185531616,sysu,1337,swinTcitySemFlipCos
0.9144344329833984,0.9278714656829834,0.901381015777588,0.8423575758934021,levir,1337,swinTcitySemFlipCos
0.856614351272583,0.8771075010299683,0.8370569348335266,0.7491911053657532,egybcd,1337,swinTcitySemFlipCos
0.9059990644454956,0.916054904460907,0.8961616158485413,0.828152060508728,gvlm,1337,swinTcitySemFlipCos
0.7906918525695801,0.8635146021842957,0.7291965484619141,0.6538382172584534,clcd,1337,swinTcitySemFlipCos
0.5478892922401428,0.6128421425819397,0.4953852593898773,0.3773054778575897,oscd96,1337,swinTcitySemFlipCos
0.814561665058136,0.8913964629173279,0.749921441078186,0.6871396899223328,sysu,564738,swinTcitySemFlipCos
0.9132925271987916,0.9270585775375366,0.8999292850494385,0.8404216766357422,levir,564738,swinTcitySemFlipCos
0.8557334542274475,0.873335599899292,0.8388268351554871,0.7478445172309875,egybcd,564738,swinTcitySemFlipCos
0.906625747680664,0.9159885048866272,0.8974524736404419,0.8291999101638794,gvlm,564738,swinTcitySemFlipCos
0.8005756139755249,0.8685067892074585,0.7425001859664917,0.6674665212631226,clcd,564738,swinTcitySemFlipCos
0.5512648820877075,0.6354295611381531,0.4867882132530212,0.3805146217346191,oscd96,564738,swinTcitySemFlipCos
