F1,Precision,Recall,cIoU,dataset,seed,cat
0.8208481073379517,0.9035070538520812,0.7520459294319153,0.6961343884468079,sysu,42,swinBcitySemFlipCos
0.915037989616394,0.926253616809845,0.9040908217430116,0.8433825373649597,levir,42,swinBcitySemFlipCos
0.8565987944602966,0.8818501234054565,0.8327533602714539,0.7491673231124878,egybcd,42,swinBcitySemFlipCos
0.9073120951652528,0.9155285954475404,0.8992417454719543,0.830348789691925,gvlm,42,swinBcitySemFlipCos
0.8106679916381836,0.8702192902565002,0.7587451934814453,0.6816162467002869,clcd,42,swinBcitySemFlipCos
0.5424625277519226,0.6437679529190063,0.4687055349349975,0.3721774220466614,oscd96,42,swinBcitySemFlipCos
0.8287927508354187,0.8987637162208557,0.7689297199249268,0.7076396942138672,sysu,1337,swinBcitySemFlipCos
0.913631796836853,0.9282066226005554,0.8995076417922974,0.8409964442253113,levir,1337,swinBcitySemFlipCos
0.8545769453048706,0.8795880675315857,0.8309488296508789,0.746079683303833,egybcd,1337,swinBcitySemFlipCos
0.9074782133102416,0.913297176361084,0.9017329216003418,0.8306270837783813,gvlm,1337,swinBcitySemFlipCos
0.8147668242454529,0.8767716884613037,0.7609526515007019,0.6874316930770874,clcd,1337,swinBcitySemFlipCos
0.5370045900344849,0.6221587657928467,0.4723540246486664,0.3670583069324493,oscd96,1337,swinBcitySemFlipCos
0.8214890360832214,0.902338445186615,0.7539365291595459,0.6970568895339966,sysu,564738,swinBcitySemFlipCos
0.915661871433258,0.9275218844413756,0.904101312160492,0.8444430828094482,levir,564738,swinBcitySemFlipCos
0.8570737838745117,0.8792176246643066,0.836017906665802,0.7498942017555237,egybcd,564738,swinBcitySemFlipCos
0.9069281816482544,0.912351369857788,0.901569128036499,0.8297059535980225,gvlm,564738,swinBcitySemFlipCos
0.8015214204788208,0.8395892381668091,0.766755998134613,0.6687824726104736,clcd,564738,swinBcitySemFlipCos
0.549453854560852,0.6569963097572327,0.4721659123897552,0.3787910044193268,oscd96,564738,swinBcitySemFlipCos
