F1,Precision,Recall,cIoU,dataset,seed,cat
0.8220297694206238,0.8923481106758118,0.7619842290878296,0.6978357434272766,sysu,42,None
0.9099777340888976,0.9248592257499696,0.8955675363540649,0.8348248600959778,levir,42,None
0.8373055458068848,0.8523436784744263,0.8227888345718384,0.7201423645019531,egybcd,42,None
0.8852675557136536,0.8918728828430176,0.8787593245506287,0.7941524982452393,gvlm,42,None
0.750075101852417,0.7770219445228577,0.7249345779418945,0.6000961065292358,clcd,42,None
0.4397140741348266,0.5905725359916687,0.3502457439899444,0.2818163335323334,oscd96,42,None
0.8204935789108276,0.8924102187156677,0.7593036890029907,0.695624589920044,sysu,42,Multistep
0.908037543296814,0.9213617444038392,0.8950932025909424,0.8315647840499878,levir,42,Multistep
0.8323652148246765,0.8594139814376831,0.8069670796394348,0.712864339351654,egybcd,42,Multistep
0.8840906023979187,0.8869963884353638,0.8812038898468018,0.7922602295875549,gvlm,42,Multistep
0.7392207384109497,0.7755311727523804,0.7061582803726196,0.5863204598426819,clcd,42,Multistep
0.447075754404068,0.5785284638404846,0.364299863576889,0.2878928184509277,oscd96,42,Multistep
0.8185818195343018,0.8876296877861023,0.7595009803771973,0.6928807497024536,sysu,42,Cosine
0.9027924537658693,0.9125550985336304,0.893236517906189,0.8228092193603516,levir,42,Cosine
0.833415687084198,0.8464841246604919,0.8207446336746216,0.7144067287445068,egybcd,42,Cosine
0.8855468034744263,0.8810028433799744,0.8901378512382507,0.7946020364761353,gvlm,42,Cosine
0.734311044216156,0.7944340705871582,0.6826479434967041,0.5801670551300049,clcd,42,Cosine
0.4619093835353851,0.5084410309791565,0.4231806695461273,0.3003135025501251,oscd96,42,Cosine
0.8218449950218201,0.8703758120536804,0.7784403562545776,0.6975694894790649,sysu,42,Exp.
0.8923824429512024,0.9051535725593568,0.8799667358398438,0.8056774735450745,levir,42,Exp.
0.8191462755203247,0.8446706533432007,0.7951192855834961,0.6936898827552795,egybcd,42,Exp.
