F1,Precision,Recall,cIoU,dataset,seed,cat
0.8065743446350098,0.8908404111862183,0.7368724346160889,0.6758480072021484,sysu,42,cacoRN50
0.9089834094047546,0.9195636510849,0.8986438512802124,0.8331526517868042,levir,42,cacoRN50
0.8484762907028198,0.8656362891197205,0.8319833874702454,0.7368291616439819,egybcd,42,cacoRN50
0.9031533002853394,0.9130274653434752,0.8934903740882874,0.823408842086792,gvlm,42,cacoRN50
0.7839674949645996,0.8343362212181091,0.7393340468406677,0.6446928977966309,clcd,42,cacoRN50
0.5081720948219299,0.5244573354721069,0.4928677976131439,0.3406372368335724,oscd,42,cacoRN50
0.7990877032279968,0.8826689124107361,0.7299661636352539,0.6654006242752075,sysu,1337,cacoRN50
0.9090332984924316,0.920792818069458,0.8975703120231628,0.8332365155220032,levir,1337,cacoRN50
0.8487376570701599,0.8663913011550903,0.8317890167236328,0.7372234463691711,egybcd,1337,cacoRN50
0.9023261666297911,0.9145750999450684,0.8904010057449341,0.8220348358154297,gvlm,1337,cacoRN50
0.776255190372467,0.8487377762794495,0.7151786088943481,0.6343276500701904,clcd,1337,cacoRN50
0.5232949256896973,0.5186964869499207,0.5279755592346191,0.3543665409088135,oscd,1337,cacoRN50
0.7995324730873108,0.8771992325782776,0.7345002889633179,0.6660175919532776,sysu,564738,cacoRN50
0.9096760749816896,0.9185577630996704,0.9009644389152528,0.8343172073364258,levir,564738,cacoRN50
0.8476876616477966,0.8651965260505676,0.8308733701705933,0.7356404662132263,egybcd,564738,cacoRN50
0.9025896787643432,0.9137366414070128,0.8917114734649658,0.8224724531173706,gvlm,564738,cacoRN50
0.7753614783287048,0.8342758417129517,0.724219024181366,0.6331349611282349,clcd,564738,cacoRN50
0.5257707238197327,0.5928971767425537,0.4722982048988342,0.3566410839557647,oscd,564738,cacoRN50
0.8033035397529602,0.8834716081619263,0.7364743947982788,0.6712676286697388,sysu,42,gassl
0.9112406969070436,0.9229305386543274,0.8998432755470276,0.836953341960907,levir,42,gassl
0.8523327112197876,0.8754492998123169,0.8304054737091064,0.7426652908325195,egybcd,42,gassl
0.9027450680732728,0.9134793281555176,0.8922601342201233,0.8227304816246033,gvlm,42,gassl
0.7737812399864197,0.8369985818862915,0.7194426655769348,0.6310303211212158,clcd,42,gassl
0.5386812090873718,0.579396665096283,0.5033124089241028,0.3686267733573913,oscd,42,gassl
0.7984146475791931,0.881284773349762,0.7297900319099426,0.6644676923751831,sysu,1337,gassl
0.9116790890693665,0.9243972897529602,0.899306058883667,0.8376932740211487,levir,1337,gassl
0.8566288352012634,0.8760061860084534,0.8380901217460632,0.7492132186889648,egybcd,1337,gassl
0.9011691808700562,0.9116778373718262,0.8908999562263489,0.820116400718689,gvlm,1337,gassl
0.7888369560241699,0.8398447632789612,0.7436702847480774,0.6513053178787231,clcd,1337,gassl
0.5339397192001343,0.5695571303367615,0.5025147795677185,0.3642003834247589,oscd,1337,gassl
0.8042623400688171,0.8790828585624695,0.7411791682243347,0.6726077795028687,sysu,564738,gassl
0.9129769206047058,0.9244166016578674,0.9018169641494752,0.8398873805999756,levir,564738,gassl
0.8525549173355103,0.8707422018051147,0.8351117968559265,0.7430027723312378,egybcd,564738,gassl
0.9007609486579896,0.90985769033432,0.8918442726135254,0.8194404244422913,gvlm,564738,gassl
0.7793325185775757,0.8286639451980591,0.7355446219444275,0.6384478211402893,clcd,564738,gassl
0.5195433497428894,0.5928841829299927,0.4623498916625976,0.3509345352649688,oscd,564738,gassl
0.8109572529792786,0.8970329165458679,0.7399542927742004,0.6820253133773804,sysu,42,gfm_swinB
0.898235559463501,0.9091390371322632,0.8875905275344849,0.8152700662612915,levir,42,gfm_swinB
0.8491383790969849,0.876786470413208,0.8231806755065918,0.7378284335136414,egybcd,42,gfm_swinB
0.8983719944953918,0.903185248374939,0.8936098217964172,0.8154948949813843,gvlm,42,gfm_swinB
0.7736611366271973,0.8162375688552856,0.7353062033653259,0.6308705806732178,clcd,42,gfm_swinB
0.5252108573913574,0.5524077415466309,0.500566303730011,0.3561260402202606,oscd,42,gfm_swinB
0.811180591583252,0.8998849391937256,0.7383948564529419,0.6823413372039795,sysu,1337,gfm_swinB
0.8971598148345947,0.9058412909507751,0.8886431455612183,0.8134993314743042,levir,1337,gfm_swinB
0.8523076772689819,0.8746695518493652,0.8310606479644775,0.7426273226737976,egybcd,1337,gfm_swinB
0.8973817229270935,0.904295027256012,0.8905733227729797,0.8138644099235535,gvlm,1337,gfm_swinB
0.7660273909568787,0.8163076043128967,0.721581757068634,0.6207815408706665,clcd,1337,gfm_swinB
0.5498775839805603,0.5605846643447876,0.5395718812942505,0.3791939318180084,oscd,1337,gfm_swinB
0.81531822681427,0.8933315873146057,0.7498362064361572,0.6882171630859375,sysu,564738,gfm_swinB
0.8972713351249695,0.9079883694648744,0.8868044018745422,0.8136828541755676,levir,564738,gfm_swinB
0.8475237488746643,0.8767477869987488,0.8201850056648254,0.7353936433792114,egybcd,564738,gfm_swinB
0.8989058136940002,0.9061976075172424,0.8917304873466492,0.8163750767707825,gvlm,564738,gfm_swinB
0.7841475605964661,0.8343708515167236,0.7396271228790283,0.6449364423751831,clcd,564738,gfm_swinB
0.5486040115356445,0.5624569058418274,0.5354170799255371,0.3779837191104889,oscd,564738,gfm_swinB
0.8093309998512268,0.8902193307876587,0.7419177889823914,0.6797278523445129,sysu,42,MTP_vitB_Unet
0.917086899280548,0.927506148815155,0.9068991541862488,0.8468703031539917,levir,42,MTP_vitB_Unet
