F1,Precision,Recall,cIoU,dataset,seed,cat
0.8220297694206238,0.8923481106758118,0.7619842290878296,0.6978357434272766,sysu,42,CE
0.9099777340888976,0.9248592257499696,0.8955675363540649,0.8348248600959778,levir,42,CE
0.8373055458068848,0.8523436784744263,0.8227888345718384,0.7201423645019531,egybcd,42,CE
0.8852675557136536,0.8918728828430176,0.8787593245506287,0.7941524982452393,gvlm,42,CE
0.750075101852417,0.7770219445228577,0.7249345779418945,0.6000961065292358,clcd,42,CE
0.4397140741348266,0.5905725359916687,0.3502457439899444,0.2818163335323334,oscd96,42,CE
0.8092211484909058,0.8946640491485596,0.7386755347251892,0.6795729994773865,sysu,42,Focal
0.906937301158905,0.9194642305374146,0.8947471976280212,0.8297212719917297,levir,42,Focal
0.8297942876815796,0.8495486378669739,0.8109377026557922,0.7091012001037598,egybcd,42,Focal
0.8873919248580933,0.8983506560325623,0.8766973614692688,0.7975782155990601,gvlm,42,Focal
0.7558410167694092,0.7779095768928528,0.7349900603294373,0.607511579990387,clcd,42,Focal
0.3909124732017517,0.5766597986221313,0.2956734001636505,0.2429404705762863,oscd96,42,Focal
0.8166224956512451,0.896543562412262,0.7497840523719788,0.6900777816772461,sysu,42,Dice
0.9111953377723694,0.9191182851791382,0.9034078121185304,0.8368767499923706,levir,42,Dice
0.8309999704360962,0.8674877882003784,0.797457754611969,0.7108640074729919,egybcd,42,Dice
0.8876895308494568,0.8975551724433899,0.8780383467674255,0.7980591058731079,gvlm,42,Dice
0.7461090087890625,0.7878454923629761,0.7085720896720886,0.5950349569320679,clcd,42,Dice
0.5116713047027588,0.6112348437309265,0.4400000274181366,0.3437891602516174,oscd96,42,Dice
0.8178212642669678,0.899560809135437,0.7496991753578186,0.6917915940284729,sysu,42,Focal+Dice
0.9097076654434204,0.9179738759994508,0.9015889763832092,0.8343704342842102,levir,42,Focal+Dice
0.8378190994262695,0.8621482253074646,0.8148253560066223,0.7209025025367737,egybcd,42,Focal+Dice
0.891556978225708,0.8951952457427979,0.8879480957984924,0.8043326735496521,gvlm,42,Focal+Dice
0.7501442432403564,0.792402982711792,0.712164580821991,0.6001846194267273,clcd,42,Focal+Dice
0.4737774729728699,0.5544530749320984,0.4135971367359161,0.3104248940944671,oscd96,42,Focal+Dice
0.8191258907318115,0.9058122634887696,0.7475821375846863,0.6936606168746948,sysu,42,CE+Dice
0.9097998142242432,0.9242846369743348,0.895762026309967,0.8345255255699158,levir,42,CE+Dice
0.8383252620697021,0.8584630489349365,0.8191105723381042,0.7216522693634033,egybcd,42,CE+Dice
0.8897205591201782,0.8976660370826721,0.881914496421814,0.8013483285903931,gvlm,42,CE+Dice
0.7329880595207214,0.7754022479057312,0.6949732303619385,0.5785170793533325,clcd,42,CE+Dice
0.4290105998516083,0.6061438918113708,0.331992506980896,0.2730830609798431,oscd96,42,CE+Dice
0.8190856575965881,0.8925086259841919,0.7568249106407166,0.6936030387878418,sysu,1337,CE
0.9084387421607972,0.924996018409729,0.892463743686676,0.832237958908081,levir,1337,CE
0.8335447311401367,0.8445888161659241,0.8227857351303101,0.7145963311195374,egybcd,1337,CE
0.8861744403839111,0.8893988132476807,0.882973313331604,0.7956132888793945,gvlm,1337,CE
0.7426337599754333,0.7854520082473755,0.7042426466941833,0.5906264781951904,clcd,1337,CE
0.5273812413215637,0.4918832778930664,0.5684012174606323,0.3581247329711914,oscd96,1337,CE
0.8251169323921204,0.8891606330871582,0.7696791887283325,0.702297031879425,sysu,1337,Focal
0.9098728895187378,0.9198416471481324,0.9001179337501526,0.8346484899520874,levir,1337,Focal
0.8320050835609436,0.8702926635742188,0.7969443202018738,0.7123361825942993,egybcd,1337,Focal
0.8896507620811462,0.8907741904258728,0.8885301947593689,0.8012350797653198,gvlm,1337,Focal
0.7434124946594238,0.7772577404975891,0.7123918533325195,0.5916122198104858,clcd,1337,Focal
0.5152783989906311,0.5589259266853333,0.4779541194438934,0.3470538854598999,oscd96,1337,Focal
0.8242475390434265,0.9004727602005005,0.7599201798439026,0.7010383605957031,sysu,1337,Dice
0.9106083512306212,0.9204636812210084,0.9009618163108826,0.8358870148658752,levir,1337,Dice
0.8312453031539917,0.8327926993370056,0.829703688621521,0.7112231254577637,egybcd,1337,Dice
0.8919597268104553,0.9018062353134156,0.8823259472846985,0.8049885630607605,gvlm,1337,Dice
0.7484436631202698,0.8164607882499695,0.6908877491950989,0.5980104207992554,clcd,1337,Dice
0.5476210117340088,0.5459258556365967,0.5493267178535461,0.3770510256290436,oscd96,1337,Dice
0.815505862236023,0.9043906331062316,0.742529034614563,0.6884844899177551,sysu,1337,Focal+Dice
0.9076959490776062,0.9271439909934998,0.8890470862388611,0.8309920430183411,levir,1337,Focal+Dice
0.8396764993667603,0.8714374899864197,0.8101493120193481,0.7236572504043579,egybcd,1337,Focal+Dice
0.8895832896232605,0.9034752249717712,0.8761121034622192,0.8011256456375122,gvlm,1337,Focal+Dice
0.7445297837257385,0.7894718647003174,0.7044289112091064,0.5930286049842834,clcd,1337,Focal+Dice
0.5508816838264465,0.4835163652896881,0.6400567889213562,0.3801495432853699,oscd96,1337,Focal+Dice
0.8120322823524475,0.8945332765579224,0.7434640526771545,0.6835473775863647,sysu,1337,CE+Dice
0.9114871025085448,0.924611508846283,0.8987301588058472,0.8373692035675049,levir,1337,CE+Dice
0.8359770774841309,0.8688044548034668,0.805540144443512,0.7181792259216309,egybcd,1337,CE+Dice
0.8904470205307007,0.9059211611747742,0.8754926323890686,0.8025277256965637,gvlm,1337,CE+Dice
