F1,Precision,Recall,cIoU,dataset,seed,cat
0.8220297694206238,0.8923481106758118,0.7619842290878296,0.6978357434272766,sysu,42,Swin T
0.9099777340888976,0.9248592257499696,0.8955675363540649,0.8348248600959778,levir,42,Swin T
0.8373055458068848,0.8523436784744263,0.8227888345718384,0.7201423645019531,egybcd,42,Swin T
0.8852675557136536,0.8918728828430176,0.8787593245506287,0.7941524982452393,gvlm,42,Swin T
0.750075101852417,0.7770219445228577,0.7249345779418945,0.6000961065292358,clcd,42,Swin T
0.4397140741348266,0.5905725359916687,0.3502457439899444,0.2818163335323334,oscd96,42,Swin T
0.8212568163871765,0.8927273154258728,0.7603816390037537,0.6967223286628723,sysu,42,Swin S
0.9110186100006104,0.9228821992874146,0.8994561433792114,0.8365786671638489,levir,42,Swin S
0.8408704400062561,0.8639179468154907,0.8190206289291382,0.7254326343536377,egybcd,42,Swin S
0.890245795249939,0.905264973640442,0.8757169246673584,0.8022009134292603,gvlm,42,Swin S
0.7571468949317932,0.7829954028129578,0.7329505085945129,0.609200656414032,clcd,42,Swin S
0.4602676928043365,0.547611653804779,0.3969536423683166,0.2989270687103271,oscd96,42,Swin S
0.8229173421859741,0.9047078490257264,0.7546894550323486,0.699116051197052,sysu,42,Swin B
0.908912181854248,0.9245256185531616,0.8938173055648804,0.83303302526474,levir,42,Swin B
0.8446670770645142,0.8552952408790588,0.8342998027801514,0.7311027646064758,egybcd,42,Swin B
0.8971526622772217,0.9008742570877076,0.8934616446495056,0.8134876489639282,gvlm,42,Swin B
0.7797828316688538,0.8298150897026062,0.7354407906532288,0.6390525102615356,clcd,42,Swin B
0.5116227269172668,0.5743427872657776,0.4612525105476379,0.3437453210353851,oscd96,42,Swin B
0.8190856575965881,0.8925086259841919,0.7568249106407166,0.6936030387878418,sysu,1337,Swin T
0.9084387421607972,0.924996018409729,0.892463743686676,0.832237958908081,levir,1337,Swin T
0.8335447311401367,0.8445888161659241,0.8227857351303101,0.7145963311195374,egybcd,1337,Swin T
0.8861744403839111,0.8893988132476807,0.882973313331604,0.7956132888793945,gvlm,1337,Swin T
0.7426337599754333,0.7854520082473755,0.7042426466941833,0.5906264781951904,clcd,1337,Swin T
0.5273812413215637,0.4918832778930664,0.5684012174606323,0.3581247329711914,oscd96,1337,Swin T
0.8128558993339539,0.9055545926094056,0.7373733520507812,0.6847154498100281,sysu,1337,Swin S
0.9105758666992188,0.919970154762268,0.9013714790344238,0.8358322978019714,levir,1337,Swin S
0.8403892517089844,0.8711872696876526,0.8116943836212158,0.7247166633605957,egybcd,1337,Swin S
0.894928514957428,0.8975523710250854,0.8923199772834778,0.8098376989364624,gvlm,1337,Swin S
0.7593210339546204,0.8129632472991943,0.7123196721076965,0.6120205521583557,clcd,1337,Swin S
0.4798727035522461,0.645399808883667,0.3819206655025482,0.3156792819499969,oscd96,1337,Swin S
0.8141968846321106,0.9104479551315308,0.7363510727882385,0.6866206526756287,sysu,1337,Swin B
0.914452075958252,0.930862307548523,0.8986104726791382,0.8423876166343689,levir,1337,Swin B
0.8446199297904968,0.8711958527565002,0.8196173906326294,0.7310320734977722,egybcd,1337,Swin B
0.8935898542404175,0.8922614455223083,0.8949222564697266,0.8076479434967041,gvlm,1337,Swin B
0.7617543935775757,0.7954578399658203,0.730790913105011,0.615188479423523,clcd,1337,Swin B
0.4949196279048919,0.561549723148346,0.4424242079257965,0.3288326859474182,oscd96,1337,Swin B
0.8189771175384521,0.8913955688476562,0.7574414014816284,0.6934472918510437,sysu,564738,Swin T
0.91048401594162,0.9272695183753968,0.8942953944206238,0.8356775045394897,levir,564738,Swin T
0.833132803440094,0.8406308889389038,0.8257673382759094,0.7139911651611328,egybcd,564738,Swin T
0.8920543193817139,0.8963962197303772,0.8877542614936829,0.8051426410675049,gvlm,564738,Swin T
0.7453340291976929,0.7595686912536621,0.7316231727600098,0.5940498113632202,clcd,564738,Swin T
0.4614088833332062,0.5679225325584412,0.3885385990142822,0.2998905181884765,oscd96,564738,Swin T
0.8204894065856934,0.9017741680145264,0.7526467442512512,0.6956185102462769,sysu,564738,Swin S
0.9102018475532532,0.9258094429969788,0.8951117992401123,0.8352022767066956,levir,564738,Swin S
0.8427739143371582,0.8675496578216553,0.8193739652633667,0.7282707691192627,egybcd,564738,Swin S
0.892190158367157,0.890181839466095,0.8942075371742249,0.8053640127182007,gvlm,564738,Swin S
0.7567809224128723,0.8027181625366211,0.715816855430603,0.608726978302002,clcd,564738,Swin S
0.4110328555107116,0.6315264105796814,0.3046619892120361,0.2586792707443237,oscd96,564738,Swin S
0.8231145143508911,0.8927411437034607,0.763562798500061,0.6994006633758545,sysu,564738,Swin B
0.9131777882575988,0.9298226237297058,0.8971183896064758,0.8402274250984192,levir,564738,Swin B
0.8425645232200623,0.8690038919448853,0.8176865577697754,0.7279581427574158,egybcd,564738,Swin B
0.8926661610603333,0.8945349454879761,0.890805184841156,0.8061400651931763,gvlm,564738,Swin B
0.7474679946899414,0.8274397850036621,0.6815922856330872,0.5967655777931213,clcd,564738,Swin B
0.4120714664459228,0.5951924324035645,0.3151196241378784,0.2595025300979614,oscd96,564738,Swin B
