cat,F1,Precision,Recall,cIoU,dataset,seed
swinTcitySemFlip_ce,0.9118587374687196,0.9251697063446044,0.8989253640174866,0.8379966616630554,levir,1337
swinTcitySemFlip_ce,0.8584598898887634,0.8827002048492432,0.8355153799057007,0.7520190477371216,egybcd,1337
swinTcitySemFlip_ce,0.9011277556419371,0.918678343296051,0.8842352032661438,0.8200477957725525,gvlm,1337
swinTcitySemFlip_ce,0.7837175130844116,0.8506327271461487,0.7265623211860657,0.6443548202514648,clcd,1337
swinTcitySemFlip_ce,0.5824673175811768,0.5758770108222961,0.5892102122306824,0.410902202129364,oscd96,1337
swinTcitySemFlipCos_ce,0.8138207197189331,0.8940740823745728,0.746787965297699,0.6860857605934143,sysu,1337
swinTcitySemFlipCos_ce,0.9168215990066528,0.9329749941825868,0.901218056678772,0.8464179635047913,levir,1337
swinTcitySemFlipCos_ce,0.8633264899253845,0.8916559219360352,0.8367417454719543,0.7595201730728149,egybcd,1337
swinTcitySemFlipCos_ce,0.9044271111488342,0.9200729727745056,0.8893044590950012,0.8255289793014526,gvlm,1337
swinTcitySemFlipCos_ce,0.7930143475532532,0.8537757396697998,0.7403268814086914,0.6570205688476562,clcd,1337
swinTcitySemFlipCos_ce,0.555305004119873,0.532111644744873,0.5806123614311218,0.3843752741813659,oscd96,1337
swinTcitySemFlip_ce,0.810469925403595,0.8927801251411438,0.7420558333396912,0.6813361644744873,sysu,564738
swinTcitySemFlip_ce,0.9155269861221312,0.930381178855896,0.9011396765708924,0.8442137241363525,levir,564738
swinTcitySemFlip_ce,0.8570180535316467,0.8729702830314636,0.8416383862495422,0.7498089075088501,egybcd,564738
swinTcitySemFlip_ce,0.9022242426872252,0.9221316576004028,0.883158266544342,0.8218657374382019,gvlm,564738
swinTcitySemFlip_ce,0.7980297207832336,0.828269362449646,0.7699204087257385,0.6639346480369568,clcd,564738
swinTcitySemFlip_ce,0.5286707282066345,0.4604441523551941,0.6206335425376892,0.3593150377273559,oscd96,564738
swinTcitySemFlipCos_ce,0.8066070079803467,0.8902643322944641,0.7373216152191162,0.6758939027786255,sysu,564738
swinTcitySemFlipCos_ce,0.9162065386772156,0.934176743030548,0.8989146947860718,0.8453701138496399,levir,564738
swinTcitySemFlipCos_ce,0.8606781959533691,0.8817272782325745,0.840610682964325,0.755430281162262,egybcd,564738
swinTcitySemFlipCos_ce,0.9058420062065125,0.9199150800704956,0.8921929597854614,0.8278895616531372,gvlm,564738
swinTcitySemFlipCos_ce,0.7860245108604431,0.8455756306648254,0.7343094944953918,0.6474797129631042,clcd,564738
swinTcitySemFlipCos_ce,0.5505037903785706,0.5734332799911499,0.5293375253677368,0.3797897398471832,oscd96,564738
swinBcitySemFlipCos_dice,0.8208481073379517,0.9035070538520812,0.7520459294319153,0.6961343884468079,sysu,42
swinBcitySemFlipCos_dice,0.915037989616394,0.926253616809845,0.9040908217430116,0.8433825373649597,levir,42
swinBcitySemFlipCos_dice,0.8565987944602966,0.8818501234054565,0.8327533602714539,0.7491673231124878,egybcd,42
swinBcitySemFlipCos_dice,0.9073120951652528,0.9155285954475404,0.8992417454719543,0.830348789691925,gvlm,42
swinBcitySemFlipCos_dice,0.8106679916381836,0.8702192902565002,0.7587451934814453,0.6816162467002869,clcd,42
swinBcitySemFlipCos_dice,0.5424625277519226,0.6437679529190063,0.4687055349349975,0.3721774220466614,oscd96,42
swinBcitySemFlipCos_dice,0.8287927508354187,0.8987637162208557,0.7689297199249268,0.7076396942138672,sysu,1337
swinBcitySemFlipCos_dice,0.913631796836853,0.9282066226005554,0.8995076417922974,0.8409964442253113,levir,1337
swinBcitySemFlipCos_dice,0.8545769453048706,0.8795880675315857,0.8309488296508789,0.746079683303833,egybcd,1337
swinBcitySemFlipCos_dice,0.9074782133102416,0.913297176361084,0.9017329216003418,0.8306270837783813,gvlm,1337
swinBcitySemFlipCos_dice,0.8147668242454529,0.8767716884613037,0.7609526515007019,0.6874316930770874,clcd,1337
swinBcitySemFlipCos_dice,0.5370045900344849,0.6221587657928467,0.4723540246486664,0.3670583069324493,oscd96,1337
swinBcitySemFlipCos_dice,0.8214890360832214,0.902338445186615,0.7539365291595459,0.6970568895339966,sysu,564738
swinBcitySemFlipCos_dice,0.915661871433258,0.9275218844413756,0.904101312160492,0.8444430828094482,levir,564738
swinBcitySemFlipCos_dice,0.8570737838745117,0.8792176246643066,0.836017906665802,0.7498942017555237,egybcd,564738
swinBcitySemFlipCos_dice,0.9069281816482544,0.912351369857788,0.901569128036499,0.8297059535980225,gvlm,564738
swinBcitySemFlipCos_dice,0.8015214204788208,0.8395892381668091,0.766755998134613,0.6687824726104736,clcd,564738
swinBcitySemFlipCos_dice,0.549453854560852,0.6569963097572327,0.4721659123897552,0.3787910044193268,oscd96,564738
swinBcitySemFlipCos_ce,0.8197558522224426,0.903774619102478,0.7500299215316772,0.694564700126648,sysu,42
swinBcitySemFlipCos_ce,0.916490375995636,0.9300951957702636,0.9032777547836304,0.8458534479141235,levir,42
swinBcitySemFlipCos_ce,0.8589272499084473,0.8877855539321899,0.8318859934806824,0.7527366280555725,egybcd,42
swinBcitySemFlipCos_ce,0.9085339307785034,0.9193625450134276,0.8979573845863342,0.8323977589607239,gvlm,42
swinBcitySemFlipCos_ce,0.8110997080802917,0.8633341193199158,0.7648254036903381,0.682226836681366,clcd,42
swinBcitySemFlipCos_ce,0.5181969404220581,0.6207862496376038,0.4447061419486999,0.3497070372104645,oscd96,42
swinBcitySemFlipCos_ce,0.8155657649040222,0.9000797271728516,0.7455604672431946,0.6885699033737183,sysu,1337
swinBcitySemFlipCos_ce,0.9162269830703736,0.9313170909881592,0.9016180634498596,0.845404863357544,levir,1337
