F1,Precision,Recall,cIoU,dataset,seed,cat
0.8220297694206238,0.8923481106758118,0.7619842290878296,0.6978357434272766,sysu,42,None
0.9099777340888976,0.9248592257499696,0.8955675363540649,0.8348248600959778,levir,42,None
0.8373055458068848,0.8523436784744263,0.8227888345718384,0.7201423645019531,egybcd,42,None
0.8852675557136536,0.8918728828430176,0.8787593245506287,0.7941524982452393,gvlm,42,None
0.750075101852417,0.7770219445228577,0.7249345779418945,0.6000961065292358,clcd,42,None
0.4397140741348266,0.5905725359916687,0.3502457439899444,0.2818163335323334,oscd96,42,None
0.8159613013267517,0.8853669166564941,0.7566463351249695,0.6891340017318726,sysu,42,Flip
0.914276361465454,0.925897181034088,0.9029435515403748,0.8420893549919128,levir,42,Flip
0.851060688495636,0.8791078329086304,0.8247478604316711,0.7407360076904297,egybcd,42,Flip
0.9002619385719299,0.9178076982498168,0.8833744525909424,0.8186149001121521,gvlm,42,Flip
0.7877702713012695,0.8395750522613525,0.7419870495796204,0.6498523354530334,clcd,42,Flip
0.499275654554367,0.6336126327514648,0.4119376540184021,0.3326897919178009,oscd96,42,Flip
0.8222008943557739,0.8902576565742493,0.7638105154037476,0.698082447052002,sysu,42,Color
0.9091694951057434,0.9223732948303224,0.8963384628295898,0.8334654569625854,levir,42,Color
0.837487518787384,0.8602414727210999,0.815906286239624,0.7204116582870483,egybcd,42,Color
0.889154851436615,0.8901383280754089,0.8881735801696777,0.8004310131072998,gvlm,42,Color
0.7425621151924133,0.782963216304779,0.706125795841217,0.5905358195304871,clcd,42,Color
0.4759968817234039,0.6326952576637268,0.3815092444419861,0.3123332858085632,oscd96,42,Color
0.8186981678009033,0.8906247615814209,0.7575209736824036,0.6930474042892456,sysu,42,Crop
0.9131392240524292,0.9210249781608582,0.9053873419761658,0.8401620984077454,levir,42,Crop
0.8504754900932312,0.8736035227775574,0.8285405039787292,0.7398498058319092,egybcd,42,Crop
0.8948534727096558,0.9195929765701294,0.8714101910591125,0.8097147345542908,gvlm,42,Crop
